"ID";"指定子";"フットプリント";"数量";"名称";"供給業者、参考資料";
1;"U6,U1,U2,U7,U5,U8,U3,U4";"PG-TO220-3_INF";8;"IRLB3813PBF";;;
2;"Servo2";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo2";;;
3;"SV8";"PinHeader_1x02_P2.54mm_Vertical";1;"SV8";;;
4;"R9,R2,R6,R13,R7,R11,R16,R1,R12,R4,R8,R5,R3,R15,R10,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";16;"R";;;
5;"SV5";"PinHeader_1x02_P2.54mm_Vertical";1;"SV5";;;
6;"MD2";"PinHeader_1x04_P2.54mm_Vertical";1;"MD2";;;
7;"Servo3";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo3";;;
8;"MD5";"PinHeader_1x04_P2.54mm_Vertical";1;"MD5";;;
9;"SV6";"PinHeader_1x02_P2.54mm_Vertical";1;"SV6";;;
10;"SV2";"PinHeader_1x02_P2.54mm_Vertical";1;"SV2";;;
11;"VMD5/VMD6";"PinHeader_1x11_P2.54mm_Vertical";1;"VMD5/VMD6";;;
12;"SV3";"PinHeader_1x02_P2.54mm_Vertical";1;"SV3";;;
13;"SV7";"PinHeader_1x02_P2.54mm_Vertical";1;"SV7";;;
14;"Servo4";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo4";;;
15;"5V";"PinSocket_1x04_P2.54mm_Vertical";1;"CAN5V";;;
16;"VMD3/VMD4";"PinHeader_1x11_P2.54mm_Vertical";1;"VMD3/VMD4";;;
17;"SV1";"PinHeader_1x02_P2.54mm_Vertical";1;"SV1";;;
18;"ENC2";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC2";;;
19;"3.3V";"PinSocket_1x04_P2.54mm_Vertical";1;"CAN3.3V";;;
20;"J4,J6";"AMASS_XT60-M";2;"XT60-M";;;
21;"ENC3";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC3";;;
22;"MD3";"PinHeader_1x04_P2.54mm_Vertical";1;"MD3";;;
23;"MD6";"PinHeader_1x04_P2.54mm_Vertical";1;"MD6";;;
24;"MD1";"PinHeader_1x04_P2.54mm_Vertical";1;"MD1";;;
25;"5V_OUT1";"PinSocket_2x06_P2.54mm_Vertical";1;"5V_OUT";;;
26;"3.3V_OUT1";"PinSocket_2x06_P2.54mm_Vertical";1;"3.3V_OUT";;;
27;"ENC1";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC1";;;
28;"SV4";"PinHeader_1x02_P2.54mm_Vertical";1;"SV4";;;
29;"Servo1";"PinHeader_1x03_P2.54mm_Vertical";1;"Servo1";;;
30;"HC-SR04";"PinHeader_1x04_P2.54mm_Vertical";1;"HC-SR04";;;
31;"VMD1/VMD2";"PinHeader_1x11_P2.54mm_Vertical";1;"VMD1/VMD2";;;
32;"ENC4";"PinHeader_1x04_P2.54mm_Vertical";1;"ENC4";;;
33;"MD4";"PinHeader_1x04_P2.54mm_Vertical";1;"MD4";;;
34;"J3";"PinHeader_2x10_P2.54mm_Vertical";1;"Conn_02x10_Odd_Even";;;
35;"J1";"PinHeader_2x17_P2.54mm_Vertical";1;"Conn_02x17_Odd_Even";;;
36;"J2";"PinHeader_2x08_P2.54mm_Vertical";1;"Conn_02x08_Odd_Even";;;
37;"J5";"PinHeader_2x15_P2.54mm_Vertical";1;"Conn_02x15_Odd_Even";;;
